wave#	mWatts
760	0.314
765	0.809
770	1.082
775	1.202
780	1.377
785	1.687
790	2.096
795	2.282
800	2.481
805	2.503
810	2.708
815	3.01
820	3.45
825	3.57
830	3.6
835	3.62
840	3.53
845	3.51
850	3.82
855	3.97
860	3.89
865	3.64
870	3.75
875	3.62
880	4.15
885	4.25
890	4.28
895	4
900	3.92
905	3.37
910	3.93
915	3.96
920	3.91
925	3.7
930	3.49
935	3.04
940	3.08
945	3.25
950	3.19
955	3.07
960	2.81
965	2.5
970	2.27
975	2.41
980	1.24
985	1.256
990	1.653
995	1.759
1000	1.989
1005	2.182
1010	2.326
1015	2.467
1020	2.505
1025	2.757
1030	2.841
1035	2.94
1040	3.13
1045	3.28
1050	3.28
1055	3.3
1060	3.24
1065	3.27
1070	3.15
1075	2.99
1080	2.97
1085	2.73
1090	2.66
1095	2.56
1100	2.47
1105	2.22
1110	2.21
1115	1.99
1120	1.942
1125	1.611
1130	1.597
1135	1.565
1140	1.368
1145	1.359
1150	1.398
1155	1.396
1160	1.446
1165	1.578
1170	1.678
1175	1.741
1180	1.839
1185	1.98
1190	2.101
1195	2.243
1200	2.357
1205	2.456
1210	2.524
1215	2.578
1220	2.625
1225	2.597
1230	2.624
1235	2.688
1240	2.779
1245	2.899
1250	3.01
1255	3.36
1260	3.5
1265	3.69
1270	3.78
1275	3.78
1280	3.77
1285	3.76
1290	3.65
1295	3.49
1300	3.45
1305	3.3
1310	3.11
1315	2.92
1320	2.69
1325	2.53
1330	2.32
1335	2.06
1340	1.819
1345	1.489
1350	1.331
1355	1.126
1360	0.933
1365	1.5
1370	1.896
1375	2.051
1380	2.433
1385	2.709
1390	3
1395	2.91
1400	3.21
1405	3.36
1410	4.02
1415	4.31
1420	3.73
1425	4.66
1430	4.3
1435	5.3
1440	5.57
1445	5.84
1450	6
1455	5.8
1460	5.47
1465	5.69
1470	6.62
1475	6.54
1480	6.85
1485	6.97
1490	6.12
1495	6.82
1500	6.75
1505	6.1
1510	6.25
1515	6.12
1520	5.89
1525	6.01
1530	6.32
1535	5.78
1540	3.91
1545	5.04
1550	5.27
1555	4.62
1560	3.13
1565	4.67
1570	4.24
1575	4.32
1580	4.35
1585	4.09
1590	3.77
1595	3.48
1600	3.27
1605	2.97
1610	2.68
1615	2.34
1620	2.09
1625	1.749
1630	1.322
1635	1.062
1640	0.919
1645	0.52
1650	0.699
1655	0.777
1660	1.075
1665	1.255
1670	1.304
1675	1.491
1680	1.659
1685	1.594
1690	1.939
1695	1.903
1700	2.006
1705	2.126
1710	2.276
1715	2.197
1720	2.378
1725	2.513
1730	2.452
1735	2.416
1740	2.459
1745	2.483
1750	2.437
1755	2.607
1760	2.579
1765	2.579
1770	2.379
1775	2.463
1780	2.443
1785	2.418
1790	2.333
1795	2.295
1800	2.3
1805	2.346
1810	2.258
1815	2.187
1820	2.049
1825	1.89
1830	1.804
1835	1.87
1840	1.835
1845	1.72
1850	1.648
1855	1.519
1860	1.361
1865	1.198
1870	1.056
1875	1.014
1880	0.921
1885	0.865
1890	0.759
1895	0.691
1900	0.616
1905	0.515
1910	0.403
